MESES,INJURUA,AMEACA,LESAO_CORPORAL,VIAS_DE_FATO,PERTURBACAO_TRANQUILID,DANO,DIFAMACAO,VIOLACAO_DOMICILIO,FURTO,ROUBO,CALUNIA,ESTUPRO,IMPORTUNACAO_SEXUAL,CONSTRANGIMENTO_ILEGAL,SEQUESTRO_CARCERE_PRIVD,FEMINICIDIO,APROPRIACAO_INDEBITA,MAUS _RATOS,PERTU_TRAB_SOSSEGO,ESTUPRO_VULNERAVEL,INCENDIO,REG_NAO_AUTOR_INTIMID,RETENCAO_DOCTOS,ABANDONO_INCAPAZ,HOMICIDIO,EXTORSAO
JAN,713,638,205,232,198,38,24,25,16,7,5,7,5,4,4,0,4,3,3,0,1,0,1,0,3,1
FEV,698,597,254,244,204,36,30,19,15,5,5,4,5,3,2,2,1,2,1,0,2,1,0,3,0,0
MAR,535,500,254,178,164,16,32,12,7,8,6,4,5,3,2,5,2,1,2,2,0,2,2,0,0,1
ABR,183,181,173,83,36,13,5,7,6,0,3,3,0,1,2,1,1,1,0,3,0,0,0,0,0,0
MAI,426,491,233,196,136,24,8,14,7,1,6,4,2,0,4,2,0,4,3,3,0,0,1,1,1,1
JUN,644,626,272,196,251,29,29,21,9,3,8,2,5,2,3,3,3,5,6,3,1,0,4,2,0,0
JUL,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,,,,,,,,,,,,,,,,,,,,,,,,,,
SET,,,,,,,,,,,,,,,,,,,,,,,,,,
OUT,,,,,,,,,,,,,,,,,,,,,,,,,,
NOV,,,,,,,,,,,,,,,,,,,,,,,,,,
DEZ,,,,,,,,,,,,,,,,,,,,,,,,,,
